root_symbol,instrument_name,underlying_name,exchange_id,exchange_alias,parent_calendar_id,child_calendar_id,underlying_asset_class_id,underlying_country_id,quote_currency_id,multiplier,tick_size,average_pricing,settle_start,settle_end,settle_method,settle_timezone,deliverable,final_settle_method,final_settle_start,final_settle_end,final_settle_timezone,last_trade_time,auto_close_date
MIX,IBEX 35 mini,IBEX 35 Index,BMEX,MEFF,BMEX,,5,ES,EUR,1,1,,17:29,17:30,vwap,exch,0,IBEX 35 twap,16:15,16:45,exch,16:15,
IBX,IBEX 35 Index,IBEX 35 Index,BMEX,MEFF,BMEX,,5,ES,EUR,10,1,,17:29,17:30,vwap,exch,0,IBEX 35 twap,16:15,16:45,exch,16:15,
OMXS30,OMX Index,OMXS30 Index,XSTO,OMX,XSTO,,5,SE,SEK,100,0.25,,17:25,17:28,cspa,exch,0,OMXS30 vwap,9:00,17:00,exch,17:00,last_trade
FSMI,Swiss Market Index,Swiss Market Index (SMI) ,XEUR,EUREX,XEUR,XSWX,5,CH,CHF,10,1,,17:19,17:20,vwap,exch,0,SOQ,9:00,9:00,exch,9:00,
Z,FTSE 100 Index,FTSE 100 Index,IFEU,ICE,IFEU,XLON,5,GB,GBP,10,0.5,,16:30,16:45,vwap,exch,0,LSE Intraday Auction,10:10,10:15,exch,10:15,
FMRU,MSCI Russia Index,MSCI Russia Index,XEUR,EUREX,XEUR,MISX,5,RU,USD,50,0.1,,17:29,17:30,vwap,exch,0,Closing Value of Index,14:45,14:45,exch,22:00,
ID,MSCI Indonesia Index,MSCI Indonesia Index,XSES,SGX,XSES,,5,ID,USD,2,5,,17:25,17:30,cspa,exch,0,ISE Closing Auction,15:50,16:00,exch,17:25,
MY,MSCI Malaysia Index,MSCI Malaysia Index,XSES,SGX,XSES,,5,MY,USD,20,0.25,,17:29,17:30,cspa,exch,0,BM 1hour twap,16:00,17:00,exch,17:25,
TH,MSCI Thailand Index,MSCI Thailand Index,XSES,SGX,XSES,,5,TH,USD,20,0.25,,18:05,18:10,cspa,exch,0,SET 15 min twap + close,16:15,16:30,exch,18:05,
IN,CNX Nifty Index,CNX Nifty Index,XSES,SGX,XSES,,5,IN,USD,2,0.5,,18:10,18:15,cspa,exch,0,NSE Closing Auction,15:40,16:00,exch,18:10,
