exchange_symbol,instrument_name,instrument_country_id,underlying_name,underlying_asset_class_id,type,face_value,settlement_days,coupon,day_counter,first_auction_date,issue_date,effective_date,maturity_date,period,redemption,settle_start,settle_end,settle_timezone,quote_currency_id,multiplier,tick_size,start_date,end_date,exchange_info,parent_calendar_id,child_calendar_id
912796UE7,B 12/18/2018,US,B 12/18/2018,2.0,BILL,100,1,0.0,Act/360,2018-10-23,2018-10-25,,2018-12-18,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-10-24,2018-12-17,USBOND,USBOND,
912796RJ0,B 05/02/2019,US,B 05/02/2019,2.0,BILL,100,1,0.0,Act/360,2018-10-29,2018-11-01,,2019-05-02,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-10-30,2019-05-01,USBOND,USBOND,
912796UF4,B 12/26/2018,US,B 12/26/2018,2.0,BILL,100,1,0.0,Act/360,2018-10-30,2018-11-01,,2018-12-26,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-10-31,2018-12-24,USBOND,USBOND,
912796RP6,B 05/09/2019,US,B 05/09/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-05,2018-11-08,,2019-05-09,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-06,2019-05-08,USBOND,USBOND,
912796UG2,B 01/02/2019,US,B 01/02/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-06,2018-11-08,,2019-01-02,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-07,2018-12-31,USBOND,USBOND,
912796RM3,B 11/07/2019,US,B 11/07/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-06,2018-11-08,,2019-11-07,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-07,2019-11-04,USBOND,USBOND,
912796RQ4,B 05/16/2019,US,B 05/16/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-13,2018-11-15,,2019-05-16,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-14,2019-05-09,USBOND,USBOND,
912796UH0,B 01/08/2019,US,B 01/08/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-13,2018-11-15,,2019-01-08,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-14,2019-01-07,USBOND,USBOND,
912796UJ6,B 01/15/2019,US,B 01/15/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-20,2018-11-23,,2019-01-15,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-21,2019-01-14,USBOND,USBOND,
912796RR2,B 05/30/2019,US,B 05/30/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-26,2018-11-29,,2019-05-30,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-27,2019-05-29,USBOND,USBOND,
912796UK3,B 01/22/2019,US,B 01/22/2019,2.0,BILL,100,1,0.0,Act/360,2018-11-27,2018-11-29,,2019-01-22,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-11-28,2019-01-18,USBOND,USBOND,
912796PT0,B 02/28/2019,US,B 02/28/2019,2.0,BILL,100,1,0.0,Act/360,2018-02-27,2018-03-01,,2019-02-28,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-02-28,2019-02-27,USBOND,USBOND,
912796QT9,B 01/17/2019,US,B 01/17/2019,2.0,BILL,100,1,0.0,Act/360,2018-07-16,2018-07-19,,2019-01-17,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-07-17,2019-01-16,USBOND,USBOND,
912796QX0,B 02/14/2019,US,B 02/14/2019,2.0,BILL,100,1,0.0,Act/360,2018-08-13,2018-08-16,,2019-02-14,NoFrequency,100,15:00,15:00,exch,USD,0.01,1e-06,2018-08-14,2019-02-13,USBOND,USBOND,
